count : 38
node  : 2259
time  : 248ms

0,1,2,2,3,3,
0,1,4,4,0,5,
0,1,6,12,12,5,
7,7,6,8,0,5,
0,0,9,8,10,10,
11,11,9,0,0,0,

0,1,2,2,3,3,
0,1,0,4,4,5,
0,1,6,12,12,5,
7,7,6,8,0,5,
0,0,9,8,10,10,
11,11,9,0,0,0,

0,1,2,2,3,3,
0,1,6,4,4,5,
0,1,6,12,12,5,
7,7,0,8,0,5,
0,0,9,8,10,10,
11,11,9,0,0,0,

0,1,2,2,3,3,
0,1,6,4,4,5,
0,1,6,12,12,5,
0,7,7,8,0,5,
0,0,9,8,10,10,
11,11,9,0,0,0,

0,1,2,2,3,3,
0,1,6,4,4,5,
0,1,6,12,12,5,
0,7,7,0,0,5,
0,0,9,8,10,10,
11,11,9,8,0,0,

0,1,2,2,3,3,
0,1,6,4,4,5,
0,1,6,12,12,5,
0,0,7,7,0,5,
0,0,9,8,10,10,
11,11,9,8,0,0,

0,0,2,2,3,3,
0,1,6,4,4,5,
0,1,6,12,12,5,
0,1,7,7,0,5,
0,0,9,8,10,10,
11,11,9,8,0,0,

0,0,2,2,3,3,
0,1,6,4,4,5,
0,1,6,12,12,5,
0,1,0,7,7,5,
0,0,9,8,10,10,
11,11,9,8,0,0,

0,0,2,2,3,3,
0,1,0,4,4,5,
0,1,6,12,12,5,
0,1,6,7,7,5,
0,0,9,8,10,10,
11,11,9,8,0,0,

0,2,2,0,3,3,
0,1,0,4,4,5,
0,1,6,12,12,5,
0,1,6,7,7,5,
0,0,9,8,10,10,
11,11,9,8,0,0,

0,2,2,0,3,3,
0,1,4,4,0,5,
0,1,6,12,12,5,
0,1,6,7,7,5,
0,0,9,8,10,10,
11,11,9,8,0,0,

0,2,2,3,3,0,
0,1,4,4,0,5,
0,1,6,12,12,5,
0,1,6,7,7,5,
0,0,9,8,10,10,
11,11,9,8,0,0,

0,2,2,3,3,0,
0,0,4,4,0,5,
0,1,6,12,12,5,
0,1,6,7,7,5,
0,1,9,8,10,10,
11,11,9,8,0,0,

0,2,2,3,3,0,
0,4,4,0,0,5,
0,1,6,12,12,5,
0,1,6,7,7,5,
0,1,9,8,10,10,
11,11,9,8,0,0,

0,2,2,3,3,0,
4,4,0,0,0,5,
0,1,6,12,12,5,
0,1,6,7,7,5,
0,1,9,8,10,10,
11,11,9,8,0,0,

0,2,2,3,3,0,
4,4,6,0,0,5,
0,1,6,12,12,5,
0,1,0,7,7,5,
0,1,9,8,10,10,
11,11,9,8,0,0,

0,2,2,3,3,5,
4,4,6,0,0,5,
0,1,6,12,12,5,
0,1,0,7,7,0,
0,1,9,8,10,10,
11,11,9,8,0,0,

0,2,2,3,3,5,
4,4,6,0,0,5,
0,1,6,12,12,5,
0,1,0,0,7,7,
0,1,9,8,10,10,
11,11,9,8,0,0,

0,2,2,3,3,5,
4,4,6,0,0,5,
0,1,6,12,12,5,
0,1,9,0,7,7,
0,1,9,8,10,10,
11,11,0,8,0,0,

0,2,2,3,3,5,
4,4,6,0,0,5,
0,1,6,12,12,5,
0,1,9,0,7,7,
0,1,9,8,10,10,
0,11,11,8,0,0,

0,2,2,3,3,5,
4,4,6,0,0,5,
0,1,6,12,12,5,
0,1,9,8,7,7,
0,1,9,8,10,10,
0,11,11,0,0,0,

2,2,0,3,3,5,
4,4,6,0,0,5,
0,1,6,12,12,5,
0,1,9,8,7,7,
0,1,9,8,10,10,
0,11,11,0,0,0,

2,2,6,3,3,5,
4,4,6,0,0,5,
0,1,0,12,12,5,
0,1,9,8,7,7,
0,1,9,8,10,10,
0,11,11,0,0,0,

2,2,6,3,3,5,
4,4,6,0,0,5,
0,1,12,12,0,5,
0,1,9,8,7,7,
0,1,9,8,10,10,
0,11,11,0,0,0,

2,2,6,3,3,5,
4,4,6,0,0,5,
0,1,12,12,0,5,
0,1,9,8,7,7,
0,1,9,8,10,10,
0,0,11,11,0,0,

2,2,6,3,3,5,
4,4,6,0,0,5,
0,0,12,12,0,5,
0,1,9,8,7,7,
0,1,9,8,10,10,
0,1,11,11,0,0,

2,2,6,3,3,5,
4,4,6,0,0,5,
0,12,12,0,0,5,
0,1,9,8,7,7,
0,1,9,8,10,10,
0,1,11,11,0,0,

2,2,6,3,3,5,
4,4,6,0,0,5,
0,12,12,8,0,5,
0,1,9,8,7,7,
0,1,9,0,10,10,
0,1,11,11,0,0,

2,2,6,3,3,5,
4,4,6,8,0,5,
0,12,12,8,0,5,
0,1,9,0,7,7,
0,1,9,0,10,10,
0,1,11,11,0,0,

2,2,6,3,3,5,
4,4,6,8,0,5,
0,12,12,8,0,5,
0,1,9,7,7,0,
0,1,9,0,10,10,
0,1,11,11,0,0,

2,2,6,3,3,5,
4,4,6,8,0,5,
0,12,12,8,0,5,
0,1,9,7,7,0,
0,1,9,10,10,0,
0,1,11,11,0,0,

2,2,6,3,3,0,
4,4,6,8,0,5,
0,12,12,8,0,5,
0,1,9,7,7,5,
0,1,9,10,10,0,
0,1,11,11,0,0,

2,2,6,0,3,3,
4,4,6,8,0,5,
0,12,12,8,0,5,
0,1,9,7,7,5,
0,1,9,10,10,0,
0,1,11,11,0,0,

2,2,6,0,3,3,
4,4,6,8,0,0,
0,12,12,8,0,5,
0,1,9,7,7,5,
0,1,9,10,10,5,
0,1,11,11,0,0,

2,2,6,8,3,3,
4,4,6,8,0,0,
0,12,12,0,0,5,
0,1,9,7,7,5,
0,1,9,10,10,5,
0,1,11,11,0,0,

2,2,6,8,3,3,
4,4,6,8,0,0,
0,12,12,0,0,0,
0,1,9,7,7,5,
0,1,9,10,10,5,
0,1,11,11,0,5,

2,2,6,8,3,3,
4,4,6,8,0,0,
0,0,12,12,0,0,
0,1,9,7,7,5,
0,1,9,10,10,5,
0,1,11,11,0,5,

2,2,6,8,3,3,
4,4,6,8,0,0,
0,0,0,12,12,0,
0,1,9,7,7,5,
0,1,9,10,10,5,
0,1,11,11,0,5,

2,2,6,8,3,3,
4,4,6,8,0,0,
0,0,0,0,12,12,
0,1,9,7,7,5,
0,1,9,10,10,5,
0,1,11,11,0,5,
