depth : 7
node  : 8
time  : 1ms

0,0,0,1,0,0,
2,0,0,1,3,3,
2,6,6,0,4,0,
2,0,0,0,4,0,
0,0,0,0,4,0,
0,0,0,0,5,5,

0,0,0,1,0,0,
2,0,0,1,3,3,
2,6,6,0,4,0,
2,0,0,0,4,0,
0,0,0,0,4,0,
0,0,0,5,5,0,

0,0,0,0,0,0,
2,0,0,1,3,3,
2,6,6,1,4,0,
2,0,0,0,4,0,
0,0,0,0,4,0,
0,0,0,5,5,0,

0,0,0,0,0,0,
2,0,0,1,3,3,
2,6,6,1,4,0,
2,0,0,0,4,0,
0,0,0,0,4,0,
0,0,0,0,5,5,

0,0,0,0,0,0,
2,0,0,1,3,3,
2,6,6,1,4,0,
2,0,0,0,4,0,
0,0,0,0,4,0,
0,0,5,5,0,0,

0,0,0,0,0,0,
2,0,0,1,3,3,
2,6,6,1,0,0,
2,0,0,0,4,0,
0,0,0,0,4,0,
0,0,5,5,4,0,

0,0,0,1,0,0,
2,0,0,1,3,3,
2,6,6,0,0,0,
2,0,0,0,4,0,
0,0,0,0,4,0,
0,0,5,5,4,0,

0,0,0,1,0,0,
2,0,0,1,3,3,
2,0,0,0,6,6,
2,0,0,0,4,0,
0,0,0,0,4,0,
0,0,5,5,4,0,

