depth : 46
node  : 47
time  : 9ms

0,0,0,1,2,2,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,0,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,0,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,0,0,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

2,2,0,0,0,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,2,2,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,2,2,0,0,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,2,2,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,2,2,0,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,2,2,4,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

2,2,0,0,4,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,2,2,0,4,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,2,2,1,4,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,0,0,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

2,2,0,1,4,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,0,0,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

2,2,0,1,0,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,0,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,2,2,1,0,0,0,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
10,10,5,0,4,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,2,2,1,0,6,0,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,0,4,0,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

2,2,0,1,0,6,0,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,0,4,0,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

2,2,0,1,4,6,0,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,0,0,0,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,2,2,1,4,6,0,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,0,0,0,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,2,2,0,4,6,0,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,0,0,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

2,2,0,0,4,6,0,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,0,0,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,2,2,4,6,0,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,0,0,0,
