depth : 1477
node  : 1545
time  : 23ms

1,1,1,2,3,4,
0,0,5,2,3,4,
13,13,5,0,0,6,
0,0,7,8,8,6,
9,10,7,0,0,0,
9,10,11,11,12,12,

1,1,1,0,3,4,
0,0,5,2,3,4,
13,13,5,2,0,6,
0,0,7,8,8,6,
9,10,7,0,0,0,
9,10,11,11,12,12,

0,1,1,1,3,4,
0,0,5,2,3,4,
13,13,5,2,0,6,
0,0,7,8,8,6,
9,10,7,0,0,0,
9,10,11,11,12,12,

0,1,1,1,0,4,
0,0,5,2,3,4,
13,13,5,2,3,6,
0,0,7,8,8,6,
9,10,7,0,0,0,
9,10,11,11,12,12,

1,1,1,0,0,4,
0,0,5,2,3,4,
13,13,5,2,3,6,
0,0,7,8,8,6,
9,10,7,0,0,0,
9,10,11,11,12,12,

0,0,1,1,1,4,
0,0,5,2,3,4,
13,13,5,2,3,6,
0,0,7,8,8,6,
9,10,7,0,0,0,
9,10,11,11,12,12,

0,0,1,1,1,4,
0,0,5,2,3,4,
13,13,5,2,3,0,
0,0,7,8,8,6,
9,10,7,0,0,6,
9,10,11,11,12,12,

0,1,1,1,0,4,
0,0,5,2,3,4,
13,13,5,2,3,0,
0,0,7,8,8,6,
9,10,7,0,0,6,
9,10,11,11,12,12,

1,1,1,0,0,4,
0,0,5,2,3,4,
13,13,5,2,3,0,
0,0,7,8,8,6,
9,10,7,0,0,6,
9,10,11,11,12,12,

1,1,1,2,0,4,
0,0,5,2,3,4,
13,13,5,0,3,0,
0,0,7,8,8,6,
9,10,7,0,0,6,
9,10,11,11,12,12,

1,1,1,2,3,4,
0,0,5,2,3,4,
13,13,5,0,0,0,
0,0,7,8,8,6,
9,10,7,0,0,6,
9,10,11,11,12,12,

1,1,1,0,3,4,
0,0,5,2,3,4,
13,13,5,2,0,0,
0,0,7,8,8,6,
9,10,7,0,0,6,
9,10,11,11,12,12,

0,1,1,1,3,4,
0,0,5,2,3,4,
13,13,5,2,0,0,
0,0,7,8,8,6,
9,10,7,0,0,6,
9,10,11,11,12,12,

0,1,1,1,3,0,
0,0,5,2,3,4,
13,13,5,2,0,4,
0,0,7,8,8,6,
9,10,7,0,0,6,
9,10,11,11,12,12,

1,1,1,0,3,0,
